date,jiaDailyRate,deposit,withdraw,note
2026/3/3,2.1,100,0,
2026/3/4,-4,0,0,
2026/3/5,-1.74,0,0,
2026/3/6,3.94,100,0,
2026/3/9,4.26,0,0,
2026/3/10,2.39,185.71,0,
2026/3/11,0,514.29,0,
2026/3/12,-0.3,0,0,
2026/3/13,-4.56,0,0,
2026/3/16,-0.93,0,0,
2026/3/17,1.68,50,0,
2026/3/18,-2.92,0,0,
2026/3/19,-1.27,0,0,
2026/3/20,-3.1,0,0,
2026/3/23,-1.36,0,200,
2026/3/24,-1.24,0,0,
2026/3/25,1.79,0,0,
2026/3/26,-5.22,0,0,
2026/3/27,5.17,0,0,
2026/3/30,-0.08,100,0,
2026/3/31,-2.01,0,0,
2026/4/1,-0.88,70,0,
2026/4/2,-2.51,0,0,
2026/4/3,-2.82,0,0,
2026/4/7,0.73,0,0,
2026/4/8,-3.62,0,0,
2026/4/9,-4.05,0,0,
2026/4/10,1.25,0,0,
2026/4/13,-0.45,0,0,
2026/4/14,0,0,0,
2026/4/15,-3.83,0,0,
2026/4/16,1.03,30,0,
2026/4/17,2.01,70,0,
2026/4/20,2.3,0,0,
2026/4/21,-0.77,0,0,
2026/4/22,1.32,130,0,
2026/4/23,-3.6,150,0,
2026/4/24,1.4,0,0,
2026/4/27,-0.26,0,0,
2026/4/28,-1.38,0,0,
2026/4/29,0.46,0,0,
2026/4/30,-4.04,0,0,
2026/5/6,1.54,0,0,
2026/5/7,6.07,0,0,
2026/5/8,-0.4,0,0,
2026/5/11,1.22,0,0,
2026/5/12,-3.34,0,0,
2026/5/13,4.48,0,0,
2026/5/14,-10.17,0,0,
2026/5/15,-0.1,0,0,
2026/5/18,-0.09,0,0,
2026/5/19,5.39,0,0,
2026/5/20,-3.1,0,0,
